timenow,id,subcondition,blockname,trial,carspeed,babylocation,responsename,eventname,mobility,clothes
809.499,100,n,3.Narrative1,Tutorial Instructions 1,,NA,,Start New Block,NA,NA
811.462,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
813.743,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.194,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.441,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.686,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.811,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
824.539,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
825.389,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
826.857,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
830.539,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
832.994,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.118,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.363,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.485,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.608,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.852,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
842.688,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
859.844,100,n,4.NeutralScene,,,NA,,Start New Block,NA,NA
862.674,100,n,4.NeutralScene,1,44,NA,NA,Car Starts,NA,NA
862.94,100,n,4.NeutralScene,1,44,NA,1,Score (Space Pressed),NA,NA
863.074,100,n,4.NeutralScene,1,44,NA,1,Score (Space Pressed),NA,NA
863.342,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.473,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.606,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.734,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
867.811,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
876.379,100,n,4.NeutralScene,1,44,NA,NA,Car Ends,NA,NA
895.361,100,n,4.NeutralScene,1,44,NA,2,Estimated Speed,NA,NA
897.037,100,n,4.NeutralScene,2,103,NA,NA,Car Starts,NA,NA
897.174,100,n,4.NeutralScene,2,103,NA,NA,Car Starts,NA,NA
897.314,100,n,4.NeutralScene,2,103,NA,2,Score (Space Pressed),NA,NA
897.46,100,n,4.NeutralScene,2,103,NA,3,Score (Space Pressed),NA,NA
897.618,100,n,4.NeutralScene,2,103,NA,3,Score (Space Pressed),NA,NA
898.672,100,n,4.NeutralScene,2,103,NA,3,Score (Space Pressed),NA,NA
912.109,100,n,4.NeutralScene,2,103,NA,NA,Car Ends,NA,NA
925.836,100,n,4.NeutralScene,2,103,NA,5,Estimated Speed,NA,NA
928.161,100,n,4.NeutralScene,3,59,NA,NA,Car Starts,NA,NA
931.158,100,n,4.NeutralScene,3,59,NA,3,Score (Space Pressed),NA,NA
939.426,100,n,4.NeutralScene,3,59,NA,NA,Car Ends,NA,NA
953.299,100,n,4.NeutralScene,3,59,NA,2,Estimated Speed,NA,NA
955.117,100,n,4.NeutralScene,4,73,NA,NA,Car Starts,NA,NA
957.822,100,n,4.NeutralScene,4,73,NA,4,Score (Space Pressed),NA,NA
963.037,100,n,4.NeutralScene,4,73,NA,NA,Car Ends,NA,NA
972.644,100,n,4.NeutralScene,4,73,NA,4,Estimated Speed,NA,NA
975.148,100,n,4.NeutralScene,5,44,NA,NA,Car Starts,NA,NA
980.47,100,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1444.271,100,n,5.Narrative2,Tutorial Instructions 2,,Blanket,,Start New Block,walker,green 
1450.061,100,n,5.Narrative2,Tutorial Instructions 2,,Blanket,Yes,Repeat Instructions,walker,green 
1452.006,100,n,5.Narrative2,Tutorial Instructions 2,59,Grass,NA,Baby Crossed Blanket,walker,green 
1470.559,100,n,6.BabyScene,,,Blanket,,Start New Block,walker,green 
1472.052,100,n,6.BabyScene,1,103,Blanket,NA,Car Starts,walker,green 
1473.676,100,n,6.BabyScene,1,103,Blanket,26,Score (Space Pressed),walker,green 
1479.204,100,n,6.BabyScene,1,103,Blanket,NA,Car Ends,walker,green 
1479.204,100,n,6.BabyScene,1,103,Blanket,NA,Car Ends,walker,green 
1481.832,100,n,6.BabyScene,1,103,Grass,NA,Baby Crossed Blanket,walker,green 
1491.353,100,n,6.BabyScene,1,103,Blanket,NA,Baby Crossed Blanket,walker,green 
1493.342,100,n,6.BabyScene,2,103,Blanket,Baby Location: (257.8,B Pressed,walker,green 
1495.247,100,n,6.BabyScene,2,73,Blanket,NA,Car Starts,walker,green 
1497.258,100,n,6.BabyScene,2,73,Blanket,27,Score (Space Pressed),walker,green 
1503.106,100,n,6.BabyScene,2,73,Blanket,NA,Car Ends,walker,green 
1520.275,100,n,6.BabyScene,2,73,Blanket,3,Estimated Speed,walker,green 
1522.109,100,n,6.BabyScene,3,88,Blanket,NA,Car Starts,walker,green 
1522.372,100,n,6.BabyScene,3,88,Blanket,Baby Location: (258.1,B Pressed,walker,green 
1524.026,100,n,6.BabyScene,3,88,Blanket,28,Score (Space Pressed),walker,green 
1530.283,100,n,6.BabyScene,3,88,Blanket,NA,Car Ends,walker,green 
1542.519,100,n,6.BabyScene,3,88,Blanket,5,Estimated Speed,walker,green 
1544.22,100,n,6.BabyScene,4,103,Blanket,NA,Car Starts,walker,green 
1545.795,100,n,6.BabyScene,4,103,Blanket,29,Score (Space Pressed),walker,green 
1550.13,100,n,6.BabyScene,4,103,Blanket,NA,Car Ends,walker,green 
1556.447,100,n,6.BabyScene,4,103,Blanket,6,Estimated Speed,walker,green 
1559.112,100,n,6.BabyScene,5,59,Blanket,NA,Car Starts,walker,green 
1559.574,100,n,6.BabyScene,5,59,Blanket,30,Score (Space Pressed),walker,green 
1561.425,100,n,6.BabyScene,5,59,Grass,NA,Baby Crossed Blanket,walker,green 
1561.542,100,n,6.BabyScene,5,59,Grass,NA,Baby Crossed Blanket,walker,green 
1566.881,100,n,6.BabyScene,5,59,Grass,Baby Location: (252.8,B Pressed,walker,green 
1579.796,100,n,6.BabyScene,5,59,Blanket,3,Estimated Speed,walker,green 
1583.026,100,n,6.BabyScene,6,44,Blanket,NA,Car Starts,walker,green 
1586.381,100,n,6.BabyScene,6,44,Blanket,31,Score (Space Pressed),walker,green 
1589.517,100,n,6.BabyScene,6,44,Blanket,NA,Car Ends,walker,green 
1594.64,100,n,6.BabyScene,6,44,Blanket,2,Estimated Speed,walker,green 
1595.399,100,n,6.BabyScene,6,44,Blanket,NA,Baby Crossed Blanket,walker,green 
1597.313,100,n,6.BabyScene,7,44,Grass,NA,Car Starts,walker,green 
1598.27,100,n,6.BabyScene,7,44,Grass,NA,Baby Crossed Blanket,walker,green 
1599.768,100,n,6.BabyScene,7,44,Grass,32,Score (Space Pressed),walker,green 
1602.689,100,n,6.BabyScene,7,44,Grass,Baby Location: (257.4,B Pressed,walker,green 
1606.269,100,n,6.BabyScene,7,44,Grass,NA,Car Ends,walker,green 
1618.062,100,n,6.BabyScene,7,44,Blanket,1,Estimated Speed,walker,green 
1619.966,100,n,6.BabyScene,8,88,Blanket,NA,Car Starts,walker,green 
1622.004,100,n,6.BabyScene,8,88,Blanket,33,Score (Space Pressed),walker,green 
1626.104,100,n,6.BabyScene,8,88,Blanket,NA,Car Ends,walker,green 
1636.818,100,n,6.BabyScene,8,88,Blanket,5,Estimated Speed,walker,green 
1642.926,100,n,6.BabyScene,8,88,Grass,NA,Baby Crossed Blanket,walker,green 
1644.673,100,n,6.BabyScene,9,59,Grass,NA,Car Starts,walker,green 
1645.299,100,n,6.BabyScene,9,59,Grass,NA,Baby Crossed Blanket,walker,green 
1646.798,100,n,6.BabyScene,9,59,Grass,34,Score (Space Pressed),walker,green 
1648.211,100,n,6.BabyScene,9,59,Grass,Baby Location: (253.8,B Pressed,walker,green 
1650.919,100,n,6.BabyScene,9,59,Grass,NA,Car Ends,walker,green 
1662.764,100,n,6.BabyScene,9,59,Blanket,4,Estimated Speed,walker,green 
1664.658,100,n,6.BabyScene,10,73,Blanket,NA,Car Starts,walker,green 
1666.771,100,n,6.BabyScene,10,73,Blanket,35,Score (Space Pressed),walker,green 
1004.949,101,p,3.Narrative1,Tutorial Instructions 1,,NA,,Start New Block,NA,NA
1009.41,101,p,3.Narrative1,Tutorial Instructions 1,103,NA,Space Pressed,Space Pressed,NA,NA
1016.845,101,p,3.Narrative1,Tutorial Instructions 1,103,NA,Space Pressed,Space Pressed,NA,NA
1044.771,101,p,4.NeutralScene,,,NA,,Start New Block,NA,NA
1046.557,101,p,4.NeutralScene,1,103,NA,NA,Car Starts,NA,NA
1047.945,101,p,4.NeutralScene,1,103,NA,1,Score (Space Pressed),NA,NA
1054.01,101,p,4.NeutralScene,1,103,NA,NA,Car Ends,NA,NA
1061.499,101,p,4.NeutralScene,1,103,NA,4,Estimated Speed,NA,NA
1064.068,101,p,4.NeutralScene,2,59,NA,NA,Car Starts,NA,NA
1066.68,101,p,4.NeutralScene,2,59,NA,2,Score (Space Pressed),NA,NA
1078.944,101,p,4.NeutralScene,2,59,NA,NA,Car Ends,NA,NA
1089.926,101,p,4.NeutralScene,2,59,NA,2,Estimated Speed,NA,NA
1092.181,101,p,4.NeutralScene,3,103,NA,NA,Car Starts,NA,NA
1092.844,101,p,4.NeutralScene,3,103,NA,3,Score (Space Pressed),NA,NA
1096.611,101,p,4.NeutralScene,3,103,NA,NA,Car Ends,NA,NA
1109.986,101,p,4.NeutralScene,3,103,NA,4,Estimated Speed,NA,NA
1111.725,101,p,4.NeutralScene,4,88,NA,NA,Car Starts,NA,NA
1113.367,101,p,4.NeutralScene,4,88,NA,4,Score (Space Pressed),NA,NA
1123.178,101,p,4.NeutralScene,4,88,NA,NA,Car Ends,NA,NA
1139.864,101,p,4.NeutralScene,4,88,NA,5,Estimated Speed,NA,NA
1141.679,101,p,4.NeutralScene,5,88,NA,NA,Car Starts,NA,NA
1143.359,101,p,4.NeutralScene,5,88,NA,5,Score (Space Pressed),NA,NA
1629.925,101,p,5.Narrative2,Tutorial Instructions 2,,Blanket,,Start New Block,crawler,white  
1635.851,101,p,5.Narrative2,Tutorial Instructions 2,,Blanket,Yes,Repeat Instructions,crawler,white  
1638.079,101,p,5.Narrative2,Tutorial Instructions 2,73,Grass,NA,Baby Crossed Blanket,crawler,white  
1651.015,101,p,6.BabyScene,,,Blanket,,Start New Block,crawler,white  
1652.371,101,p,6.BabyScene,1,103,Blanket,NA,Car Starts,crawler,white  
1653.807,101,p,6.BabyScene,1,103,Blanket,26,Score (Space Pressed),crawler,white  
1657.781,101,p,6.BabyScene,1,103,Blanket,NA,Car Ends,crawler,white  
1659.892,101,p,6.BabyScene,1,103,Grass,NA,Baby Crossed Blanket,crawler,white  
1660.553,101,p,6.BabyScene,1,103,Grass,NA,Baby Crossed Blanket,crawler,white  
1668.104,101,p,6.BabyScene,1,103,Grass,5,Estimated Speed,crawler,white  
1671.185,101,p,6.BabyScene,1,103,Grass,NA,Baby Crossed Blanket,crawler,white  
1673.09,101,p,6.BabyScene,2,73,Grass,NA,Car Starts,crawler,white  
1675.261,101,p,6.BabyScene,2,73,Grass,27,Score (Space Pressed),crawler,white  
1679.141,101,p,6.BabyScene,2,73,Grass,NA,Car Ends,crawler,white  
1685.069,101,p,6.BabyScene,2,73,Grass,NA,Baby Crossed Blanket,crawler,white  
1687.087,101,p,6.BabyScene,2,73,Grass,3,Estimated Speed,crawler,white  
1687.293,101,p,6.BabyScene,3,73,Grass,Baby Location: (257.0,B Pressed,crawler,white  
1690.324,101,p,6.BabyScene,3,73,Grass,NA,Baby Crossed Road,crawler,white  
1692.238,101,p,6.BabyScene,3,88,Grass,NA,Car Starts,crawler,white  
1693.24,101,p,6.BabyScene,3,88,Grass,28,Score (Space Pressed),crawler,white  
1697.277,101,p,6.BabyScene,3,88,Road,NA,Car Ends,crawler,white  
1711.553,101,p,6.BabyScene,3,88,Blanket,3,Estimated Speed,crawler,white  
1715.132,101,p,6.BabyScene,4,73,Blanket,NA,Car Starts,crawler,white  
1717.993,101,p,6.BabyScene,4,73,Blanket,NA,Car Ends,crawler,white  
1719.325,101,p,6.BabyScene,4,73,Blanket,NA,Baby Crossed Blanket,crawler,white  
1725.224,101,p,6.BabyScene,4,73,Blanket,3,Estimated Speed,crawler,white  
1727.142,101,p,6.BabyScene,4,73,Blanket,NA,Baby Crossed Blanket,crawler,white  
1728.559,101,p,6.BabyScene,4,73,Blanket,NA,Baby Crossed Blanket,crawler,white  
1731.083,101,p,6.BabyScene,5,44,Grass,NA,Car Starts,crawler,white  
1735.01,101,p,6.BabyScene,5,44,Grass,29,Score (Space Pressed),crawler,white  
1739.811,101,p,6.BabyScene,5,44,Grass,NA,Car Ends,crawler,white  
1740.069,101,p,6.BabyScene,5,44,Grass,2,Estimated Speed,crawler,white  
1752.858,101,p,6.BabyScene,6,44,Blanket,Baby Location: (256.4,B Pressed,crawler,white  
1755.165,101,p,6.BabyScene,6,88,Blanket,NA,Car Starts,crawler,white  
1755.739,101,p,6.BabyScene,6,88,Blanket,30,Score (Space Pressed),crawler,white  
1760.78,101,p,6.BabyScene,6,88,Blanket,NA,Car Ends,crawler,white  
1766.047,101,p,6.BabyScene,6,88,Blanket,5,Estimated Speed,crawler,white  
1767.824,101,p,6.BabyScene,7,59,Blanket,NA,Car Starts,crawler,white  
1768.064,101,p,6.BabyScene,7,59,Blanket,NA,Baby Crossed Blanket,crawler,white  
1770.77,101,p,6.BabyScene,7,59,Grass,31,Score (Space Pressed),crawler,white  
1771.622,101,p,6.BabyScene,7,59,Grass,NA,Car Ends,crawler,white  
1774.185,101,p,6.BabyScene,7,59,Grass,NA,Baby Crossed Blanket,crawler,white  
1777.799,101,p,6.BabyScene,7,59,Grass,2,Estimated Speed,crawler,white  
1784.651,101,p,6.BabyScene,8,59,Grass,Baby Location: (252.9,B Pressed,crawler,white  
1787.951,101,p,6.BabyScene,8,44,Blanket,NA,Car Starts,crawler,white  
1790.32,101,p,6.BabyScene,8,44,Blanket,32,Score (Space Pressed),crawler,white  
1794.299,101,p,6.BabyScene,8,44,Blanket,NA,Car Ends,crawler,white  
1804.755,101,p,6.BabyScene,8,44,Blanket,2,Estimated Speed,crawler,white  
1807.05,101,p,6.BabyScene,8,44,Grass,NA,Baby Crossed Blanket,crawler,white  
1810.522,101,p,6.BabyScene,8,44,Grass,NA,Baby Crossed Blanket,crawler,white  
1812.358,101,p,6.BabyScene,9,59,Grass,NA,Car Starts,crawler,white  
1812.706,101,p,6.BabyScene,9,59,Grass,Baby Location: (257.6,B Pressed,crawler,white  
1815.198,101,p,6.BabyScene,9,59,Grass,33,Score (Space Pressed),crawler,white  
1818.358,101,p,6.BabyScene,9,59,Grass,NA,Car Ends,crawler,white  
1824.399,101,p,6.BabyScene,9,59,Blanket,3,Estimated Speed,crawler,white  
1826.88,101,p,6.BabyScene,10,103,Blanket,NA,Car Starts,crawler,white  
1826.975,101,p,6.BabyScene,10,103,Blanket,NA,Car Starts,crawler,white  
1832.385,101,p,6.BabyScene,10,103,Blanket,34,Score (Space Pressed),crawler,white  
1840.533,101,p,6.BabyScene,10,103,Blanket,5,Estimated Speed,crawler,white  
1844.065,101,p,6.BabyScene,10,103,Grass,NA,Baby Crossed Blanket,crawler,white  
1848.227,101,p,6.BabyScene,10,103,Grass,NA,Baby Crossed Blanket,crawler,white  
1850.072,101,p,6.BabyScene,11,73,Grass,NA,Car Starts,crawler,white  
1850.86,101,p,6.BabyScene,11,73,Grass,35,Score (Space Pressed),crawler,white  
1851.915,101,p,6.BabyScene,11,73,Grass,Baby Location: (252.1,B Pressed,crawler,white  
927.43,102,n,3.Narrative1,Tutorial Instructions 1,,NA,,Start New Block,NA,NA
929.809,102,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
930.906,102,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
941,102,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
975.232,102,n,4.NeutralScene,,,NA,,Start New Block,NA,NA
978.814,102,n,4.NeutralScene,1,59,NA,NA,Car Starts,NA,NA
980.797,102,n,4.NeutralScene,1,59,NA,1,Score (Space Pressed),NA,NA
990.798,102,n,4.NeutralScene,1,59,NA,NA,Car Ends,NA,NA
999.423,102,n,4.NeutralScene,1,59,NA,2,Score (Space Pressed),NA,NA
1014.028,102,n,4.NeutralScene,1,59,NA,6,Estimated Speed,NA,NA
1016.809,102,n,4.NeutralScene,2,73,NA,NA,Car Starts,NA,NA
1018.586,102,n,4.NeutralScene,2,73,NA,2,Score (Space Pressed),NA,NA
1024.693,102,n,4.NeutralScene,2,73,NA,NA,Car Ends,NA,NA
1031.242,102,n,4.NeutralScene,2,73,NA,5,Estimated Speed,NA,NA
1032.963,102,n,4.NeutralScene,3,103,NA,NA,Car Starts,NA,NA
1034.516,102,n,4.NeutralScene,3,103,NA,3,Score (Space Pressed),NA,NA
1042.041,102,n,4.NeutralScene,3,103,NA,NA,Car Ends,NA,NA
1054.875,102,n,4.NeutralScene,3,103,NA,5,Estimated Speed,NA,NA
1054.875,102,n,4.NeutralScene,3,103,NA,5,Estimated Speed,NA,NA
1056.584,102,n,4.NeutralScene,4,44,NA,NA,Car Starts,NA,NA
1057.073,102,n,4.NeutralScene,4,44,NA,4,Score (Space Pressed),NA,NA
1057.195,102,n,4.NeutralScene,4,44,NA,4,Score (Space Pressed),NA,NA
1057.682,102,n,4.NeutralScene,4,44,NA,5,Score (Space Pressed),NA,NA
1061.539,102,n,4.NeutralScene,4,44,NA,5,Score (Space Pressed),NA,NA
1069.342,102,n,4.NeutralScene,4,44,NA,NA,Car Ends,NA,NA
1071.03,102,n,4.NeutralScene,4,44,NA,3,Estimated Speed,NA,NA
1071.41,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1071.919,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1072.185,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1072.454,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1072.716,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1073.237,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1074.651,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1075.108,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1075.471,102,n,4.NeutralScene,5,44,NA,5,Score (Space Pressed),NA,NA
1075.703,102,n,4.NeutralScene,5,103,NA,NA,Car Starts,NA,NA
1076.21,102,n,4.NeutralScene,5,103,NA,5,Score (Space Pressed),NA,NA
1076.991,102,n,4.NeutralScene,5,103,NA,6,Score (Space Pressed),NA,NA
1078.674,102,n,4.NeutralScene,5,103,NA,6,Score (Space Pressed),NA,NA
1121.581,102,n,5.Narrative2,Tutorial Instructions 2,,Blanket,,Start New Block,precrawler,green
1132.374,102,n,5.Narrative2,Tutorial Instructions 2,59,Blanket,Baby Location: (256.0,B Pressed,precrawler,green
1140.191,102,n,6.BabyScene,,,Blanket,,Start New Block,precrawler,green
1140.324,102,n,6.BabyScene,,,Blanket,,Start New Block,precrawler,green
1140.973,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1141.432,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1142.253,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1144.746,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1146.791,102,n,6.BabyScene,1,59,Blanket,NA,Car Ends,precrawler,green
1148.502,102,n,6.BabyScene,1,59,Blanket,4,Estimated Speed,precrawler,green
1149.703,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1150.462,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1150.686,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1151.486,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1151.855,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1152.59,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1153.222,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1154.109,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1154.236,102,n,6.BabyScene,1,59,Blanket,6,Score (Space Pressed),precrawler,green
1155.323,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1158.696,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1165.331,102,n,6.BabyScene,2,73,Blanket,NA,Car Ends,precrawler,green
1168.493,102,n,6.BabyScene,2,73,Blanket,5,Estimated Speed,precrawler,green
1168.918,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1169.715,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1171.345,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1172.721,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1173.469,102,n,6.BabyScene,2,73,Blanket,7,Score (Space Pressed),precrawler,green
1173.965,102,n,6.BabyScene,3,88,Blanket,NA,Car Starts,precrawler,green
1174.83,102,n,6.BabyScene,3,88,Blanket,8,Score (Space Pressed),precrawler,green
1177.019,102,n,6.BabyScene,3,88,Blanket,8,Score (Space Pressed),precrawler,green
1182.255,102,n,6.BabyScene,3,88,Blanket,NA,Car Ends,precrawler,green
1183.8,102,n,6.BabyScene,3,88,Blanket,4,Estimated Speed,precrawler,green
1187.622,102,n,6.BabyScene,3,88,Blanket,Baby Location: (256.0,B Pressed,precrawler,green
1187.889,102,n,6.BabyScene,4,103,Blanket,NA,Car Starts,precrawler,green
1188.229,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1188.576,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1188.926,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1189.192,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1189.459,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1190.01,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1197.276,102,n,6.BabyScene,4,103,Blanket,NA,Car Ends,precrawler,green
1200.343,102,n,6.BabyScene,4,103,Blanket,5,Estimated Speed,precrawler,green
1200.62,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1201.426,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1202.044,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1202.518,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1203.126,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1203.5,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1203.865,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1204.346,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1204.585,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1205.067,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1205.532,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1206.04,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1206.693,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1206.959,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1207.633,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1208.167,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1209.1,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1209.508,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1209.632,102,n,6.BabyScene,4,103,Blanket,9,Score (Space Pressed),precrawler,green
1210.696,102,n,6.BabyScene,5,103,Blanket,NA,Car Starts,precrawler,green
1211.363,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1211.628,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1212.957,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1221.297,102,n,6.BabyScene,5,103,Blanket,NA,Car Ends,precrawler,green
1224.983,102,n,6.BabyScene,5,103,Blanket,4,Estimated Speed,precrawler,green
1226.017,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1226.789,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1227.395,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1227.885,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1228.141,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1228.506,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1228.747,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1229.116,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1229.465,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1229.686,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1230.048,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1230.28,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1230.781,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1231.16,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1231.544,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1232.052,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1233.206,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1236.427,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1239.27,102,n,6.BabyScene,5,103,Blanket,10,Score (Space Pressed),precrawler,green
1239.528,102,n,6.BabyScene,6,44,Blanket,NA,Car Starts,precrawler,green
1240.69,102,n,6.BabyScene,6,44,Blanket,11,Score (Space Pressed),precrawler,green
1242.218,102,n,6.BabyScene,6,44,Blanket,11,Score (Space Pressed),precrawler,green
